"","District","year","month","avg_pm2.5_monthly"
"1","Moshi","2012","01",22.3230769817646
"2","Moshi","2012","02",21.8865385789138
"3","Moshi","2012","03",23.6999998459449
"4","Moshi","2012","04",21.1961538608258
"5","Moshi","2012","05",16.3326921463013
"6","Moshi","2012","06",18.5057692527771
"7","Moshi","2012","07",32.5980767836938
"8","Moshi","2012","08",15.9980770257803
"9","Moshi","2012","09",9.93461539195134
"10","Moshi","2012","10",21.5884614357582
"11","Moshi","2012","11",20.190384718088
"12","Moshi","2012","12",29.0038460584787
"13","Siha","2012","01",20.1933400262858
"14","Siha","2012","02",18.2494449730959
"15","Siha","2012","03",20.4677093844601
"16","Siha","2012","04",18.8384460397253
"17","Siha","2012","05",16.2276488755473
"18","Siha","2012","06",16.1728556947679
"19","Siha","2012","07",24.058123100658
"20","Siha","2012","08",13.7582240282707
"21","Siha","2012","09",8.5958627716203
"22","Siha","2012","10",20.4223006909599
"23","Siha","2012","11",19.3726539053662
"24","Siha","2012","12",26.8587285204444
