year,moshi_1,moshi_2,moshi_3,moshi_4,moshi_5,moshi_6,moshi_7,moshi_8,moshi_9,moshi_10,moshi_11,moshi_12,siha_1,siha_2,siha_3,siha_4,siha_5,siha_6,siha_7,siha_8,siha_9,siha_10,siha_11,siha_12
2012,0.337369169,0.339330782,0.354898326,0.36522459,0.415874331,0.395200623,0.381561077,0.29177999,0.301235286,0.313957292,0.351623041,0.379869935,0.474319207,0.459523864,0.473100781,0.481380407,0.456128716,0.409658128,0.398983502,0.345235337,0.30577333,0.31251081,0.337938113,0.360849779
2013,NA,0.622666748,0.622665562,0.637203515,0.601407183,0.605447262,0.480624062,0.440798954,0.419077108,0.405745127,0.401712575,0.402602299,NA,NA,NA,0.5937666,0.592028992,0.583805357,0.512950549,0.482180025,0.444801386,0.433749126,0.439539621,0.419096934
2014,0.430023382,0.409752649,0.398067165,0.424318927,0.563944934,0.561484822,0.554829919,0.534025067,0.481085178,0.476693041,0.473540373,0.468854878,0.502797461,0.496773956,0.491805678,0.644057007,0.529571628,0.536827505,0.535457669,0.521145412,0.404278841,0.24623392,0.600155098,0.624893418
2015,0.366089567,0.365865935,0.391038101,0.428886608,0.530245788,0.501572808,0.395691024,0.39148078,0.376799634,0.374291346,0.39278698,0.426484668,0.455414251,0.457803701,0.48188345,0.5027886,0.597737822,0.595123588,0.514703187,0.437286275,0.423638858,0.409011386,0.431684583,0.35451646
2016,0.418023625,0.432697409,0.408284021,0.384756832,0.377555365,0.505249331,0.499738702,0.474474957,0.428984289,0.375178992,0.371498318,0.370342022,0.570199256,0.581403724,0.533113894,0.53693901,0.573459746,0.553451578,0.515449759,0.493356458,0.453287736,0.377523365,0.392271713,0.4164439
2017,0.373472001,0.37468755,0.375195489,0.387245285,NA,NA,0.473741202,0.47206864,0.471488227,0.469696501,0.468236699,0.453888561,0.471837245,0.470857932,0.483272335,0.487115449,0.464827832,0.47217413,0.50244007,0.472692233,0.468491659,0.475525627,0.523133237,0.559073933
2018,0.504155639,0.505731031,0.504992685,0.386084213,0.602193395,0.602192074,0.503175826,0.477149196,0.46902452,0.455772641,0.454201475,0.44325555,0.599317518,0.584362548,0.582802152,NA,NA,NA,0.44011969,0.471988253,0.465373142,0.456339011,0.471884074,0.468135114
2019,0.462208631,0.45934195,0.431515516,0.422402355,0.420441284,0.631080486,0.59205918,0.484108232,0.491656864,0.517873802,0.597521528,0.636376691,0.5358319,0.560552309,0.521224135,0.512111952,0.510910463,0.507508798,0.484173812,0.467636744,0.467228155,0.489908948,0.587896547,0.664248784
2020,0.589190733,0.584523679,0.580795617,0.580037878,0.64009493,0.634466118,0.58204623,0.459580392,0.455748045,0.452548008,0.452941454,0.456641822,0.696438472,0.680791594,0.663394131,0.668826792,0.614482241,0.389573401,0.552905591,0.525488394,0.511837683,0.495956585,0.498018274,0.563882653
2021,0.50523722,0.496355157,0.53946171,0.539279022,NA,NA,0.432508979,0.435423507,0.439990344,0.442665341,0.439974899,0.444571692,0.564896912,0.589123848,0.616479269,0.618951711,0.581115239,0.560366786,0.516769471,0.500277268,0.466116089,0.468679981,0.491184881,0.513522974
