exposure,label,units,district,E_med,E_range,E_q5_q95,cf_E
pm2p5,PM2.5,($\mu$g/m$^3$),Moshi,18.9,"6.7, 41.6","10.5, 32.8",Min. exposure: 6.7
pm2p5,PM2.5,($\mu$g/m$^3$),Siha,16.9,"6.7, 39.8","9.3, 29.4",Min. exposure: 6.7
total_rainfall,Rainfall,(mm),Moshi,42.8,"5.4, 603.9","6.9, 325.7",Min. exposure: 5.4
total_rainfall,Rainfall,(mm),Siha,49.9,"0.0, 245.4","0.0, 205.4",Min. exposure: 0.0
n_raindays,No. rain days,,Moshi,4.0,"1.0, 18.0","1.0, 12.7",Min. exposure: 1.0
n_raindays,No. rain days,,Siha,3.0,"0.0, 19.0","0.0, 10.0",Min. exposure: 0.0
temp_min,Min. temp.,(ºC),Moshi,18.8,"14.6, 22.0","15.1, 21.7",Exposure of min. IR
temp_min,Min. temp.,(ºC),Siha,15.3,"13.2, 17.3","13.4, 16.6",Exposure of min. IR
temp_mean,Mean temp.,(ºC),Moshi,23.9,"19.8, 27.5","20.5, 26.6",Exposure of min. IR
temp_mean,Mean temp.,(ºC),Siha,21.4,"18.4, 24.1","18.9, 22.9",Exposure of min. IR
temp_max,Max. temp.,(ºC),Moshi,29.6,"24.8, 33.1","25.9, 32.1",Exposure of min. IR
temp_max,Max. temp.,(ºC),Siha,27.3,"23.0, 30.8","24.2, 29.5",Exposure of min. IR
utci,UTCI,,Moshi,30.2,"6.7, 35.3","24.3, 34.4",Exposure of min. IR
utci,UTCI,,Siha,25.8,"15.1, 31.0","21.1, 30.5",Exposure of min. IR
greenness,Greenness,(NDVI),Moshi,0.46,"0.37, 0.64","0.37, 0.60",Exposure of min. IR
greenness,Greenness,(NDVI),Siha,0.51,"0.35, 0.70","0.41, 0.66",Exposure of min. IR
