exposure,label,units,district,trend_start,trend_end,trend_change,an_trend_change
pm2p5,PM2.5,($\mu$g/m$^3$),Moshi,"17.8 (15.5, 20.2)","21.5 (19.1, 23.9)","3.65 (0.30, 7.05)*","0.58 (0.23, 0.94)*"
pm2p5,PM2.5,($\mu$g/m$^3$),Siha,"16.1 (13.8, 18.3)","18.9 (16.6, 21.2)","2.83 (-0.51, 6.17) ","0.47 (0.12, 0.82)*"
temp_mean,Mean temp.,(ºC),Moshi,"23.9 (23.4, 24.4)","23.8 (23.4, 24.4)","-0.09 (-0.76, 0.77) ","-0.06 (-0.13, 0.01) "
temp_mean,Mean temp.,(ºC),Siha,"21.2 (20.7, 21.7)","21.3 (20.8, 21.9)","0.07 (-0.59, 0.89) ","-0.02 (-0.09, 0.05) "
utci,UTCI,,Moshi,"30.3 (28.7, 32.4)","28.6 (26.9, 30.4)","-1.67 (-4.57, 0.57) ","-0.28 (-0.60, 0.01) "
utci,UTCI,,Siha,"26.8 (25.3, 28.8)","25.5 (23.7, 27.3)","-1.37 (-4.02, 0.96) ","-0.23 (-0.54, 0.04) "
total_rainfall,Rainfall,(mm),Moshi,"60.2 (37.6, 95.9)","59.8 (36.4, 96.5)","-0.09 (-39.83, 38.35) ","0.00 (-5.49, 5.58) "
total_rainfall,Rainfall,(mm),Siha,"27.0 (16.1, 43.0)","30.0 (20.1, 51.3)","1.59 (-12.85, 26.83) ","0.31 (-1.57, 4.01) "
greenness,Greenness,(NDVI),Moshi,"0.39 (0.34, 0.43)","0.46 (0.42, 0.51)","0.077 (0.013, 0.135)*","0.011 (0.008, 0.015)*"
greenness,Greenness,(NDVI),Siha,"0.43 (0.38, 0.47)","0.52 (0.48, 0.57)","0.095 (0.034, 0.156)*","0.011 (0.008, 0.014)*"
temp_min,Min. temp.,(ºC),Moshi,"18.6 (18.2, 19.0)","18.7 (18.4, 19.3)","0.07 (-0.39, 0.92) ","0.00 (-0.06, 0.07) "
temp_min,Min. temp.,(ºC),Siha,"15.2 (14.7, 15.6)","15.2 (14.8, 15.7)","0.04 (-0.50, 0.68) ","0.00 (-0.07, 0.06) "
temp_max,Max. temp.,(ºC),Moshi,"29.3 (28.6, 29.9)","28.8 (28.1, 29.5)","-0.53 (-1.46, 0.53) ","-0.13 (-0.23, -0.04)*"
temp_max,Max. temp.,(ºC),Siha,"27.4 (26.7, 28.0)","27.4 (26.7, 28.1)","0.00 (-0.94, 1.06) ","-0.03 (-0.12, 0.06) "
n_raindays,No. rain days,,Moshi,"4.4 (3.0, 5.7)","4.2 (2.4, 5.5)","-0.09 (-2.28, 1.56) ","0.00 (-0.25, 0.23) "
n_raindays,No. rain days,,Siha,"2.5 (1.6, 3.4)","2.7 (1.9, 3.8)","0.20 (-0.88, 1.56) ","0.04 (-0.09, 0.22) "
